percent,count,pitchType,color,name,season
35.7,10,ST,#DDB33A,Sweeper,2025
32.1,9,FF,#D22D49,Four Seamer,2025
28.6,8,SI,#FE9D00,Sinker,2025
3.6,1,FS,#3BACAC,Split Finger,2025
