gtm,year,game_date,h,hr,er,so,era,era_cum,h_cum,hr_cum,er_cum,so_cum
1,1958,1958-04-15,11,2,8,2,9.0,9.0,11,2,8,2
2,1958,1958-04-16,5,0,1,11,4.76,4.76,16,2,9,13
3,1958,1958-04-17,10,1,4,5,4.68,4.68,26,3,13,18
4,1958,1958-04-18,12,2,5,7,4.76,4.76,38,5,18,25
5,1958,1958-04-19,15,2,10,4,5.86,5.86,53,7,28,29
6,1958,1958-04-20,15,3,9,5,6.4,6.4,68,10,37,34
7,1958,1958-04-22,4,1,2,4,5.75,5.75,72,11,39,38
8,1958,1958-04-23,10,2,7,8,5.91,5.91,82,13,46,46
9,1958,1958-04-24,9,4,15,3,6.95,6.95,91,17,61,49
10,1958,1958-04-25,9,1,2,6,6.44,6.44,100,18,63,55
11,1958,1958-04-26,10,1,6,5,6.4,6.4,110,19,69,60
12,1958,1958-04-27,10,1,3,5,6.11,6.11,120,20,72,65
13,1958,1958-04-29,11,1,6,3,6.1,6.1,131,21,78,68
14,1958,1958-04-30,9,1,3,4,5.88,5.88,140,22,81,72
15,1958,1958-05-01,13,3,7,4,5.95,5.95,153,25,88,76
16,1958,1958-05-02,9,0,5,9,5.89,5.89,162,25,93,85
17,1958,1958-05-03,9,3,3,3,5.72,5.72,171,28,96,88
18,1958,,13,1,6,3,5.74,5.74,184,29,102,91
19,1958,,10,0,2,2,5.54,5.54,194,29,104,93
20,1958,1958-05-05,8,2,7,2,5.61,5.61,202,31,111,95
21,1958,1958-05-06,10,2,6,11,5.48,5.48,212,33,117,106
22,1958,1958-05-07,15,1,9,5,5.64,5.64,227,34,126,111
23,1958,1958-05-09,12,2,11,3,5.9,5.9,239,36,137,114
24,1958,1958-05-10,4,1,3,3,5.79,5.79,243,37,140,117
25,1958,1958-05-12,17,4,5,7,5.76,5.76,260,41,145,124
26,1958,1958-05-13,26,5,13,5,6.03,6.03,286,46,158,129
27,1958,1958-05-14,13,1,7,2,6.09,6.09,299,47,165,131
28,1958,1958-05-15,8,0,1,4,5.87,5.87,307,47,166,135
29,1958,1958-05-16,5,1,2,5,5.76,5.76,312,48,168,140
30,1958,1958-05-17,13,2,10,1,5.92,5.92,325,50,178,141
31,1958,,10,1,6,2,5.94,5.94,335,51,184,143
32,1958,,8,0,0,7,5.76,5.76,343,51,184,150
33,1958,1958-05-20,2,0,2,6,5.6,5.6,345,51,186,156
34,1958,1958-05-21,9,0,1,0,5.47,5.47,354,51,187,156
35,1958,1958-05-23,8,1,4,7,5.45,5.45,362,52,191,163
36,1958,1958-05-24,10,0,5,1,5.45,5.45,372,52,196,164
37,1958,1958-05-26,2,0,1,4,5.33,5.33,374,52,197,168
38,1958,1958-05-27,10,1,5,1,5.34,5.34,384,53,202,169
39,1958,1958-05-28,6,0,0,4,5.2,5.2,390,53,202,173
40,1958,,8,1,3,4,5.15,5.15,398,54,205,177
41,1958,,15,5,10,7,5.28,5.28,413,59,215,184
42,1958,1958-05-31,12,1,4,8,5.25,5.25,425,60,219,192
43,1958,1958-06-01,2,0,0,3,5.13,5.13,427,60,219,195
44,1958,1958-06-03,5,0,8,12,5.19,5.19,432,60,227,207
45,1958,1958-06-04,3,0,0,7,5.08,5.08,435,60,227,214
46,1958,1958-06-05,13,2,7,3,5.12,5.12,448,62,234,217
47,1958,1958-06-06,9,0,3,3,5.07,5.07,457,62,237,220
48,1958,1958-06-07,6,1,2,11,5.01,5.01,463,63,239,231
49,1958,1958-06-08,11,2,4,4,4.99,4.99,474,65,243,235
50,1958,1958-06-10,11,0,2,4,4.93,4.93,485,65,245,239
51,1958,1958-06-11,9,0,2,6,4.87,4.87,494,65,247,245
52,1958,1958-06-12,10,1,4,8,4.85,4.85,504,66,251,253
53,1958,1958-06-13,7,0,3,7,4.82,4.82,511,66,254,260
54,1958,1958-06-14,6,1,2,8,4.77,4.77,517,67,256,268
55,1958,1958-06-15,14,3,12,8,4.9,4.9,531,70,268,276
56,1958,1958-06-17,10,1,8,7,4.96,4.96,541,71,276,283
57,1958,1958-06-18,4,0,0,6,4.88,4.88,545,71,276,289
58,1958,1958-06-19,12,2,9,3,4.96,4.96,557,73,285,292
59,1958,1958-06-20,6,0,2,5,4.92,4.92,563,73,287,297
