game_date,team_name,team_tricode,player_name,role,throwing_hand,batting_hand,position,lineup_order
2025-05-16,Angels,LAA,Jack Kochanowicz,Pitcher,RHP,,P,
2025-05-16,Dodgers,LAD,Dustin May,Pitcher,RHP,,P,
2025-05-16,Angels,LAA,Zach Neto,Batter,,R,SS,1.0
2025-05-16,Angels,LAA,Nolan Schanuel,Batter,,L,1B,2.0
2025-05-16,Angels,LAA,Yoán Moncada,Batter,,S,3B,3.0
2025-05-16,Angels,LAA,Taylor Ward,Batter,,R,LF,4.0
2025-05-16,Angels,LAA,Jorge Soler,Batter,,R,RF,5.0
2025-05-16,Angels,LAA,Logan O'Hoppe,Batter,,R,C,6.0
2025-05-16,Angels,LAA,Luis Rengifo,Batter,,S,DH,7.0
2025-05-16,Angels,LAA,Matthew Lugo,Batter,,R,CF,8.0
2025-05-16,Angels,LAA,Tim Anderson,Batter,,R,2B,9.0
2025-05-16,Dodgers,LAD,Shohei Ohtani,Batter,,L,DH,1.0
2025-05-16,Dodgers,LAD,Mookie Betts,Batter,,R,SS,2.0
2025-05-16,Dodgers,LAD,Freddie Freeman,Batter,,L,1B,3.0
2025-05-16,Dodgers,LAD,Will Smith,Batter,,R,C,4.0
2025-05-16,Dodgers,LAD,Max Muncy,Batter,,L,3B,5.0
2025-05-16,Dodgers,LAD,Andy Pages,Batter,,R,RF,6.0
2025-05-16,Dodgers,LAD,Michael Conforto,Batter,,L,LF,7.0
2025-05-16,Dodgers,LAD,James Outman,Batter,,L,CF,8.0
2025-05-16,Dodgers,LAD,Hyeseong Kim,Batter,,L,2B,9.0
