year,games,wins,losses,ties,win_pct,finish,games_back,playoffs,runs,runs_allowed,attendance,batter_age,pitcher_age,league_place
2025,162,93,69,0,0.574,1st of 5,0.0,,825,683,4012470.0,30.7,29.6,1st
2024,162,98,64,0,0.605,1st of 5,0.0,Won WS,842,686,3941251.0,30.3,29.7,1st
2023,162,100,62,0,0.617,1st of 5,0.0,Lost NLDS,906,699,3837079.0,30.9,28.1,1st
2022,162,111,51,0,0.685,1st of 5,0.0,Lost NLDS,847,513,3861408.0,29.6,28.8,1st
2021,162,106,56,0,0.654,2nd of 5,1.0,Lost NLCS,830,561,2804693.0,29.2,28.8,2nd
2020,60,43,17,0,0.717,1st of 5,0.0,Won WS,349,213,,28.0,27.6,1st
2019,162,106,56,0,0.654,1st of 5,0.0,Lost NLDS,886,613,3974309.0,27.9,28.9,1st
2018,163,92,71,0,0.564,1st of 5,0.0,Lost WS,804,610,3857500.0,28.1,29.2,1st
2017,162,104,58,0,0.642,1st of 5,0.0,Lost WS,770,580,3765856.0,27.9,29.7,1st
2016,162,91,71,0,0.562,1st of 5,0.0,Lost NLCS,725,638,3703312.0,28.9,28.9,1st
2015,162,92,70,0,0.568,1st of 5,0.0,Lost NLDS,667,595,3764815.0,29.5,28.1,1st
2014,162,94,68,0,0.58,1st of 5,0.0,Lost NLDS,718,617,3782337.0,29.3,29.9,1st
2013,162,92,70,0,0.568,1st of 5,0.0,Lost NLCS,649,582,3743527.0,30.6,28.1,1st
2012,162,86,76,0,0.531,2nd of 5,8.0,,637,597,3324246.0,30.4,29.0,2nd
2011,161,82,79,0,0.509,3rd of 5,11.5,,644,612,2935139.0,29.8,28.6,3rd
2010,162,80,82,0,0.494,4th of 5,12.0,,667,692,3562320.0,30.3,28.1,4th
2009,162,95,67,0,0.586,1st of 5,0.0,Lost NLCS,780,611,3761655.0,29.7,27.8,1st
2008,162,84,78,0,0.519,1st of 5,0.0,Lost NLCS,700,648,3730553.0,28.5,29.5,1st
2007,162,82,80,0,0.506,4th of 5,8.0,,735,727,3857036.0,29.7,31.1,4th
2006,162,88,74,0,0.543,2nd of 5,0.0,Lost NLDS,820,751,3758545.0,29.9,30.4,2nd
