gm,game_date,year,home_away,opp,r,ra,run_diff,result,wins,losses,record,win_pct,gb,rank,attendance,time_minutes,time,day_night,game_day
1,2026-03-26,2026,home,Arizona Diamondbacks,8,2,6,W,1,0,1-0,1.0,0,1,0,0,00:00:00,N,Thursday
2,2026-03-27,2026,home,Arizona Diamondbacks,5,4,1,W,2,0,2-0,1.0,0,1,0,0,00:00:00,N,Friday
3,2026-03-28,2026,home,Arizona Diamondbacks,3,2,1,W,3,0,3-0,1.0,0,1,0,0,00:00:00,N,Saturday
4,2026-03-30,2026,home,Cleveland Guardians,2,4,-2,L,3,1,3-1,0.75,0,1,0,0,00:00:00,N,Monday
5,2026-03-31,2026,home,Cleveland Guardians,4,1,3,W,4,1,4-1,0.8,0,1,0,0,00:00:00,N,Tuesday
6,2026-04-01,2026,home,Cleveland Guardians,1,4,-3,L,4,2,4-2,0.667,0,1,0,0,00:00:00,N,Wednesday
7,2026-04-03,2026,away,Washington Nationals,13,6,7,W,5,2,5-2,0.714,0,1,0,0,00:00:00,N,Friday
