year,gm,win_pct,gb,run_diff
2026,1,1.0,1.0,6.0
2026,2,1.0,1.5,1.0
2026,3,1.0,2.5,1.0
2026,4,0.75,1.5,-2.0
2026,5,0.8,2.5,3.0
2026,6,0.667,1.0,-3.0
2026,7,0.714,2.0,7.0
2026,8,0.75,2.5,5.0
2026,9,0.778,2.5,2.0
2026,10,0.8,3.0,12.0
2026,11,0.818,4.0,3.0
2026,12,0.75,3.0,-1.0
2026,13,0.769,2.5,1.0
2026,14,0.786,3.0,3.0
2026,15,0.733,1.5,-3.0
2026,16,0.75,2.0,4.0
2026,17,0.765,2.5,1.0
2026,18,0.778,2.5,6.0
2026,19,0.789,2.0,6.0
2025,1,1.0,0.5,
2025,2,1.0,1.0,
2025,3,1.0,1.0,
2025,4,1.0,1.0,
2025,5,1.0,1.0,
2025,6,1.0,0.5,
2025,7,1.0,0.5,
2025,8,1.0,0.5,
2025,9,0.889,0.5,
2025,10,0.9,1.0,
2025,11,0.818,0.0,
2025,12,0.75,-0.5,
2025,13,0.692,-0.5,
2025,14,0.714,-0.5,
2025,15,0.733,-0.5,
2025,16,0.688,-1.5,
2025,17,0.647,-2.5,
2025,18,0.667,-2.5,
2025,19,0.684,-1.5,
2025,20,0.7,-1.5,
2025,21,0.714,-0.5,
2025,22,0.682,-0.5,
2025,23,0.696,-0.5,
2025,24,0.667,-1.0,
2025,25,0.64,-1.0,
2025,26,0.615,-1.0,
2025,27,0.63,-0.5,
2025,28,0.643,-0.5,
2025,29,0.655,0.0,
2025,30,0.667,1.0,
2025,31,0.677,1.5,
2025,32,0.688,1.5,
2025,33,0.697,1.5,
2025,34,0.676,0.5,
2025,35,0.686,0.5,
2025,36,0.667,0.5,
2025,37,0.676,1.5,
2025,38,0.658,1.0,
2025,39,0.667,1.0,
2025,40,0.65,0.0,
2025,41,0.659,1.0,
2025,42,0.643,0.5,
2025,43,0.651,0.5,
2025,44,0.659,1.0,
2025,45,0.644,1.0,
2025,46,0.63,1.0,
2025,47,0.617,1.0,
2025,48,0.604,0.5,
2025,49,0.612,1.0,
2025,50,0.62,2.0,
2025,51,0.627,2.0,
2025,52,0.615,2.0,
2025,53,0.604,1.0,
2025,54,0.611,2.0,
2025,55,0.618,2.0,
2025,56,0.607,2.0,
2025,57,0.614,2.0,
2025,58,0.621,3.0,
2025,59,0.61,2.0,
2025,60,0.6,1.0,
2025,61,0.607,1.0,
2025,62,0.597,1.0,
2025,63,0.603,2.0,
2025,64,0.594,1.0,
2025,65,0.585,1.0,
2025,66,0.591,1.0,
2025,67,0.597,1.5,
2025,68,0.588,0.5,
2025,69,0.594,0.5,
2025,70,0.586,0.0,
2025,71,0.592,1.0,
2025,72,0.597,2.0,
2025,73,0.603,2.5,
2025,74,0.608,3.5,
2025,75,0.613,4.5,
2025,76,0.605,3.5,
2025,77,0.61,4.5,
2025,78,0.603,3.5,
2025,79,0.608,3.5,
2025,80,0.612,4.5,
2025,81,0.617,5.5,
2025,82,0.622,6.0,
2025,83,0.627,6.5,
2025,84,0.619,6.0,
2025,85,0.624,7.0,
2025,86,0.628,8.0,
2025,87,0.632,8.5,
2025,88,0.636,9.0,
2025,89,0.629,8.0,
2025,90,0.622,8.0,
2025,91,0.615,7.0,
2025,92,0.609,6.0,
2025,93,0.602,5.0,
2025,94,0.596,5.0,
2025,95,0.589,4.0,
2025,96,0.594,4.5,
2025,97,0.598,5.5,
2025,98,0.592,4.5,
2025,99,0.586,4.5,
2025,100,0.58,3.5,
2025,101,0.584,3.5,
2025,102,0.578,3.5,
2025,103,0.583,4.5,
2025,104,0.587,6.0,
2025,105,0.581,5.0,
2025,106,0.575,4.0,
2025,107,0.579,4.0,
2025,108,0.583,4.0,
2025,109,0.578,3.0,
2025,110,0.582,3.0,
2025,111,0.577,3.0,
2025,112,0.58,3.0,
2025,113,0.575,3.0,
2025,114,0.579,3.0,
2025,115,0.574,2.0,
2025,116,0.578,3.0,
2025,117,0.581,3.0,
2025,118,0.576,2.0,
2025,119,0.571,1.0,
2025,120,0.567,0.0,
2025,121,0.562,-1.0,
2025,122,0.566,0.0,
2025,123,0.569,1.0,
2025,124,0.573,2.0,
2025,125,0.568,2.0,
2025,126,0.571,2.0,
2025,127,0.567,1.0,
2025,128,0.57,1.0,
2025,129,0.566,0.0,
2025,130,0.562,-1.0,
2025,131,0.565,0.0,
2025,132,0.568,1.0,
2025,133,0.571,1.0,
2025,134,0.575,2.0,
2025,135,0.57,2.0,
2025,136,0.566,1.0,
2025,137,0.569,2.0,
2025,138,0.565,2.5,
2025,139,0.561,2.5,
