name,ab,r,h,2b,3b,hr,sb,cs,bb,so,ba,obp,slg,ops,tb,hbp,sf,season
Rank in 15 NL teams,1,1,1,3,5,1,8,4,1,15,2,2,2,2,1,10,1,2024
Rank in 15 NL teams,3,2,3,2,11,2,11,4,2,8,3,2,2,2,2,3,1,2023
Rank in 15 NL teams,2,1,2,1,2,3,5,2,1,8,2,1,2,1,2,13,1,2022
Rank in 15 NL teams,3,1,5,11,6,3,9,3,1,8,5,2,4,2,3,2,2,2021
Rank in 15 NL teams,3,1,5,7,10,1,6,3,5,3,8,4,1,2,2,8,10,2020
Rank in 15 NL teams,11,1,7,4,12,1,11,1,3,3,5,2,1,1,1,4,1,2019
Rank in 15 NL teams,3,1,7,2,6,1,9,1,1,10,8,2,1,1,1,8,10,2018
Rank in 15 NL teams,14,6,13,2,15,4,8,3,1,9,11,3,4,5,8,7,7,2017
Rank in 15 NL teams,7,7,11,9,13,8,13,2,7,8,11,11,7,9,7,7,14,2016
Rank in 15 NL teams,15,8,13,11,12,1,13,7,2,5,10,1,3,2,5,5,14,2015
Rank in 15 NL teams,3,2,2,2,4,6,1,14,2,6,2,1,2,2,2,4,5,2014
Rank in 15 NL teams,9,7,4,5,15,10,7,3,6,4,3,3,6,4,5,6,1,2013
Rank in 16 NL teams,10,13,9,11,15,15,8,11,8,3,8,9,15,13,15,6,9,2012
Rank in 16 NL teams,13,9,9,16,10,12,4,8,10,5,6,7,12,10,13,13,6,2011
Rank in 16 NL teams,14,11,10,11,10,15,8,15,8,8,10,8,13,12,13,12,2,2010
Rank in 16 NL teams,1,4,1,12,5,11,3,15,4,5,1,1,7,4,6,3,8,2009
Rank in 16 NL teams,11,13,6,13,7,13,4,12,10,4,5,6,13,11,13,13,13,2008
Rank in 16 NL teams,6,10,4,15,7,15,3,16,12,1,2,5,13,9,12,14,3,2007
Rank in 16 NL teams,3,4,1,7,1,15,2,12,3,4,1,1,6,3,4,14,5,2006
Rank in 16 NL teams,15,12,15,11,14,11,15,8,5,12,15,10,14,14,15,5,16,2005
Rank in 16 NL teams,9,9,9,16,10,4,5,14,10,10,10,8,8,9,8,5,13,2004
Rank in 16 NL teams,13,16,15,14,11,15,6,8,16,5,16,16,16,16,15,5,16,2003
Rank in 16 NL teams,1,7,5,6,8,11,6,4,16,2,5,14,9,12,8,11,7,2002
Rank in 16 NL teams,9,8,11,14,11,6,8,6,9,4,11,12,8,8,9,12,11,2001
Rank in 16 NL teams,15,8,14,15,11,4,9,6,5,9,12,8,7,8,9,10,10,2000
