year,max_game_date,rn,x_numer,x_denom,xwoba,player_name,player_id,league_avg_xwoba,rn_fwd
2026,2026-09-06 17:00:00 PDT,1,36.298946,100,0.36298946,Shohei Ohtani,660271,0.30207894736842106,1
2026,2026-09-06 17:00:00 PDT,2,35.770400,100,0.357704,Shohei Ohtani,660271,0.30207894736842106,2
2026,2026-09-06 17:00:00 PDT,3,35.929400,100,0.359294,Shohei Ohtani,660271,0.30207894736842106,3
2026,2026-09-06 17:00:00 PDT,4,35.929400,100,0.359294,Shohei Ohtani,660271,0.30207894736842106,4
2026,2026-09-01 17:00:00 PDT,5,35.907400,100,0.359074,Shohei Ohtani,660271,0.30207894736842106,5
2026,2026-09-01 17:00:00 PDT,6,35.965400,100,0.359654,Shohei Ohtani,660271,0.30207894736842106,6
2026,2026-09-01 17:00:00 PDT,7,35.965400,100,0.359654,Shohei Ohtani,660271,0.30207894736842106,7
2026,2026-09-01 17:00:00 PDT,8,35.965400,100,0.359654,Shohei Ohtani,660271,0.30207894736842106,8
2026,2026-09-01 17:00:00 PDT,9,36.241400,100,0.362414,Shohei Ohtani,660271,0.30207894736842106,9
2026,2026-09-01 17:00:00 PDT,10,35.795930,100,0.3579593,Shohei Ohtani,660271,0.30207894736842106,10
2026,2026-08-31 17:00:00 PDT,11,35.214384,100,0.35214384,Shohei Ohtani,660271,0.30207894736842106,11
2026,2026-08-31 17:00:00 PDT,12,35.183460,100,0.3518346,Shohei Ohtani,660271,0.30207894736842106,12
2026,2026-08-31 17:00:00 PDT,13,35.300006,100,0.35300006,Shohei Ohtani,660271,0.30207894736842106,13
2026,2026-08-31 17:00:00 PDT,14,34.622460,100,0.3462246,Shohei Ohtani,660271,0.30207894736842106,14
2026,2026-08-29 17:00:00 PDT,15,35.299460,100,0.3529946,Shohei Ohtani,660271,0.30207894736842106,15
2026,2026-08-29 17:00:00 PDT,16,35.299460,100,0.3529946,Shohei Ohtani,660271,0.30207894736842106,16
2026,2026-08-29 17:00:00 PDT,17,36.016460,100,0.3601646,Shohei Ohtani,660271,0.30207894736842106,17
2026,2026-08-29 17:00:00 PDT,18,36.016460,100,0.3601646,Shohei Ohtani,660271,0.30207894736842106,18
2026,2026-08-29 17:00:00 PDT,19,36.633460,100,0.3663346,Shohei Ohtani,660271,0.30207894736842106,19
2026,2026-08-28 17:00:00 PDT,20,36.326460,100,0.3632646,Shohei Ohtani,660271,0.30207894736842106,20
2026,2026-08-28 17:00:00 PDT,21,36.388460,100,0.3638846,Shohei Ohtani,660271,0.30207894736842106,21
2026,2026-08-28 17:00:00 PDT,22,36.479460,100,0.3647946,Shohei Ohtani,660271,0.30207894736842106,22
2026,2026-08-28 17:00:00 PDT,23,35.791460,100,0.3579146,Shohei Ohtani,660271,0.30207894736842106,23
2026,2026-08-27 17:00:00 PDT,24,36.098460,100,0.3609846,Shohei Ohtani,660271,0.30207894736842106,24
2026,2026-08-27 17:00:00 PDT,25,36.334460,100,0.3633446,Shohei Ohtani,660271,0.30207894736842106,25
2026,2026-08-27 17:00:00 PDT,26,37.057460,100,0.3705746,Shohei Ohtani,660271,0.30207894736842106,26
2026,2026-08-27 17:00:00 PDT,27,37.057460,100,0.3705746,Shohei Ohtani,660271,0.30207894736842106,27
2026,2026-08-27 17:00:00 PDT,28,36.675460,100,0.3667546,Shohei Ohtani,660271,0.30207894736842106,28
2026,2026-08-26 17:00:00 PDT,29,36.675460,100,0.3667546,Shohei Ohtani,660271,0.30207894736842106,29
2026,2026-08-26 17:00:00 PDT,30,37.297460,100,0.3729746,Shohei Ohtani,660271,0.30207894736842106,30
2026,2026-08-26 17:00:00 PDT,31,37.368460,100,0.3736846,Shohei Ohtani,660271,0.30207894736842106,31
2026,2026-08-26 17:00:00 PDT,32,37.368460,100,0.3736846,Shohei Ohtani,660271,0.30207894736842106,32
2026,2026-08-25 17:00:00 PDT,33,37.824460,100,0.3782446,Shohei Ohtani,660271,0.30207894736842106,33
