game_pk,doubles,triples,home_runs,hits,runs,rbi,stolen_bases,walks,strikeouts,left_on_base,game_date,game_number,year,gtm,cumulative_doubles,cumulative_triples,cumulative_home_runs,cumulative_hits,cumulative_runs,cumulative_rbi,cumulative_stolen_bases,2b_cum,3b_cum,hr_cum,h_cum,r_cum,rbi_cum,sb_cum
823974,1,0,2,10,8,8,0,5,4,19,2026-03-26,1,2026,1,1,0,2,10,8,8,0,1,0,2,10,8,8,0
823971,1,0,2,4,5,5,1,3,5,4,2026-03-27,2,2026,2,2,0,4,14,13,13,1,2,0,4,14,13,13,1
823973,1,0,1,6,3,3,1,3,6,14,2026-03-28,3,2026,3,3,0,5,20,16,16,2,3,0,5,20,16,16,2
823972,2,0,0,9,2,2,0,0,6,11,2026-03-30,4,2026,4,5,0,5,29,18,18,2,5,0,5,29,18,18,2
823969,0,0,1,10,4,4,0,3,11,19,2026-03-31,5,2026,5,5,0,6,39,22,22,2,5,0,6,39,22,22,2
823970,1,0,1,5,1,1,0,3,12,12,2026-04-01,6,2026,6,6,0,7,44,23,23,2,6,0,7,44,23,23,2
822758,1,0,5,16,13,13,0,5,8,20,2026-04-03,7,2026,7,7,0,12,60,36,36,2,7,0,12,60,36,36,2
822757,3,0,1,16,10,10,1,3,8,17,2026-04-04,8,2026,8,10,0,13,76,46,46,3,10,0,13,76,46,46,3
822756,3,0,3,11,8,8,0,5,10,16,2026-04-05,9,2026,9,13,0,16,87,54,54,3,13,0,16,87,54,54,3
822832,2,0,5,17,14,13,2,5,8,21,2026-04-06,10,2026,10,15,0,21,104,68,67,5,15,0,21,104,68,67,5
822831,2,0,0,9,4,4,0,3,11,20,2026-04-07,11,2026,11,17,0,21,113,72,71,5,17,0,21,113,72,71,5
